Mu,Sigma,Sharpe,Beta,AAPL,BAC,CCL,CSGP,F,GIS,HAS,INTC,PFE,SNAP,T,XOM
13.22,40.57,0.33,0.89,41.72,5.3,3.98,5.44,1.25,11.9,4.66,12.32,1.7,1.33,1.12,9.27
12.63,38.05,0.33,0.76,19.66,0.8,2.09,8.44,4.25,15.72,12.48,0.24,11.31,0.73,21.57,2.72
13.45,39.44,0.34,0.86,51.46,4.63,0.01,3.02,2.51,3.2,5.27,0.55,0.64,2.52,4.95,21.24
13.45,43.78,0.31,0.83,19.09,1.58,4.59,7.73,4.69,8.47,44.18,0.58,0.17,2.73,4.43,1.76
12.99,42.94,0.3,0.92,20.21,4.68,3.7,20.62,0.71,3.77,9.22,12.22,12.76,1.64,0.81,9.65
12.63,42.2,0.3,0.91,41.87,4.02,2.52,6.38,7.86,1.26,2.66,4.46,6.43,2.14,10.21,10.19
12.76,41.35,0.31,0.82,31.95,0.49,3.31,9.28,0.03,6.98,7.35,1.91,9.7,2.55,15.8,10.65
12.97,43.65,0.3,0.87,12.92,1.53,0.64,21.97,0.35,4.14,23.15,8.63,6.85,3.82,15.5,0.49
12.89,37.43,0.34,0.82,3.72,16.43,0.19,25.67,3.18,26.93,16.75,1.81,1.57,0.05,3.02,0.68
13.7,40.64,0.34,0.9,28.55,0.26,2.28,22.6,1.48,2.67,0.73,7.8,16.83,0.68,3.46,12.66
12.81,41.24,0.31,0.86,0.57,4.09,0.33,17.7,0.92,0.39,32.67,13.29,13.95,1.87,10.08,4.14
13.02,41.07,0.32,0.86,18.93,0.18,1.09,22.8,7.13,9.65,4.9,4.8,14.75,1.42,9.33,5.01
13.68,45.36,0.3,0.94,13.76,4.19,7.86,32.45,2.95,9.18,13.34,9.23,0.58,0.22,2.02,4.22
12.84,42.86,0.3,0.84,14.47,2.84,4.07,14.28,4.28,7.93,24.85,2.59,11.37,1.95,4.27,7.1
12.83,42.97,0.3,0.98,10.16,11.42,2.52,33.49,3.06,3.47,1.01,19.0,0.51,0.07,10.52,4.78
13.04,43.17,0.3,0.92,2.1,15.49,2.91,24.42,3.77,1.94,38.31,2.69,3.8,0.93,3.65,0.0
13.62,41.61,0.33,0.88,32.85,3.28,2.98,19.23,3.39,2.37,9.19,0.56,1.79,0.87,21.24,2.24
12.91,42.07,0.31,0.88,7.58,2.9,0.02,27.68,0.82,3.64,10.14,12.53,12.15,2.13,6.47,13.95
12.87,43.45,0.3,0.87,8.66,4.54,2.89,25.89,0.68,3.03,18.68,1.91,16.48,2.41,4.29,10.54
12.86,37.65,0.34,0.87,39.31,14.52,3.24,5.68,1.9,22.79,3.13,5.51,0.84,0.55,1.16,1.38
13.84,43.26,0.32,0.88,14.22,0.88,4.65,25.38,3.92,8.33,19.88,8.32,1.66,0.43,4.59,7.74
13.56,38.69,0.35,0.83,6.87,8.4,0.32,8.09,5.2,0.62,50.6,2.39,8.45,0.11,3.49,5.46
12.8,41.73,0.31,0.91,36.47,1.43,1.76,1.7,2.92,3.46,7.9,23.58,1.44,2.33,1.92,15.09
12.41,39.24,0.32,0.84,14.48,11.08,2.08,10.13,0.64,6.94,23.51,0.59,18.5,1.3,8.4,2.35
12.75,36.71,0.35,0.78,4.98,1.25,0.4,7.16,1.03,6.26,31.2,5.2,34.84,1.06,0.21,6.4
12.71,41.18,0.31,0.83,8.26,0.04,0.94,23.87,3.2,4.65,2.17,9.58,11.48,1.04,1.76,33.0
12.74,40.33,0.32,0.87,17.05,3.76,1.09,15.48,8.43,5.36,9.69,8.55,15.83,0.5,1.33,12.92
14.86,40.4,0.37,0.88,42.35,0.07,2.96,18.78,0.55,0.54,10.78,0.15,5.67,0.29,2.89,14.99
12.98,38.47,0.34,0.79,5.44,9.75,1.34,13.38,5.36,23.84,33.13,1.48,3.05,0.73,1.67,0.83
12.5,40.49,0.31,0.81,13.8,7.56,4.18,11.61,5.12,13.47,18.72,0.95,2.06,0.12,15.69,6.73
12.76,40.63,0.31,0.92,17.31,6.53,1.63,14.61,3.99,11.06,8.7,25.91,3.62,0.65,1.41,4.57
13.47,42.39,0.32,0.84,15.03,0.36,2.83,25.3,1.82,1.55,7.6,6.22,1.46,0.47,4.95,32.42
12.7,38.83,0.33,0.72,22.26,0.41,1.77,3.67,1.08,34.2,18.7,3.17,2.56,3.51,2.06,6.61
13.06,39.54,0.33,0.92,27.52,3.88,0.33,8.15,1.0,2.38,11.73,23.18,13.28,1.38,3.48,3.69
12.67,42.91,0.3,0.91,31.45,0.38,2.12,2.86,3.28,7.97,16.27,22.78,3.33,3.55,4.59,1.41
13.1,41.15,0.32,0.91,31.75,0.63,2.09,11.89,11.0,3.34,5.86,8.76,11.62,0.56,6.28,6.23
13.95,40.32,0.35,0.84,1.9,1.4,2.18,20.55,4.39,5.59,41.48,5.19,15.67,0.19,0.8,0.66
12.55,42.35,0.3,0.85,28.85,2.99,0.77,12.2,2.82,5.69,7.72,3.5,4.29,3.44,11.44,16.29
12.53,38.15,0.33,0.88,16.23,16.29,0.36,13.39,3.13,5.19,18.39,2.9,14.46,0.22,6.76,2.68
12.62,37.39,0.34,0.8,21.7,3.23,2.21,1.31,3.07,19.3,14.57,13.47,7.85,0.52,7.93,4.84
12.78,39.49,0.32,0.79,2.95,4.03,0.4,9.84,5.84,20.54,34.91,12.78,0.83,1.63,4.88,1.38
12.48,40.28,0.31,0.79,12.07,0.33,1.42,20.73,2.17,16.92,3.18,3.84,12.23,1.98,13.8,11.33
12.74,41.56,0.31,0.84,16.57,7.36,5.93,3.09,7.69,11.73,35.23,2.78,5.63,0.44,1.39,2.17
13.33,43.67,0.31,0.93,27.61,2.58,2.11,28.07,8.79,1.24,0.99,2.46,4.89,1.38,12.66,7.21
12.96,42.13,0.31,0.89,23.24,3.16,3.34,14.78,15.92,16.3,12.63,6.09,1.09,0.4,2.89,0.17
13.11,41.69,0.31,0.81,4.51,2.98,2.77,0.89,0.68,4.22,57.92,12.58,1.34,2.45,2.03,7.64
13.48,39.96,0.34,0.92,52.63,3.64,0.15,1.79,6.71,0.76,8.28,7.5,6.25,2.17,7.23,2.89
14.3,42.28,0.34,0.91,13.64,5.96,1.87,28.24,0.31,0.3,29.87,6.09,6.57,0.87,1.3,4.99
12.56,41.25,0.3,0.83,21.57,2.99,3.07,0.64,1.45,11.19,25.65,15.47,0.67,2.32,9.22,5.74
