Mu,Sigma,Sharpe,Beta,AAPL,BAC,CCL,CSGP,F,GIS,HAS,INTC,PFE,SNAP,T,XOM
12.77,40.24,0.32,0.83,38.29,2.06,7.39,0.82,0.3,15.62,3.15,7.36,6.23,0.68,5.18,12.93
12.9,43.43,0.3,0.82,4.89,0.38,2.52,11.72,2.35,6.53,41.93,7.04,6.99,3.28,4.55,7.82
12.76,40.16,0.32,0.86,12.37,16.37,0.79,6.95,1.51,6.16,43.09,3.35,2.97,1.89,2.01,2.54
12.94,41.31,0.31,0.87,4.53,5.18,2.66,32.83,1.0,6.12,9.04,2.97,17.14,0.63,16.08,1.84
13.31,43.28,0.31,0.87,4.1,1.85,7.08,39.37,3.1,24.81,1.81,7.82,3.59,0.2,5.79,0.48
13.63,44.48,0.31,0.94,26.69,3.51,1.44,21.19,2.23,0.81,19.51,10.27,3.48,3.24,0.51,7.12
12.56,39.26,0.32,0.83,14.92,7.35,4.26,19.14,0.67,14.19,3.73,0.72,19.24,0.12,5.68,9.98
13.33,39.98,0.33,0.93,20.86,13.72,0.74,27.62,0.31,5.0,6.17,7.39,5.02,0.24,11.73,1.2
13.17,39.74,0.33,0.82,18.48,3.08,2.9,4.0,0.71,9.24,29.39,12.86,4.87,0.93,5.46,8.07
13.64,44.5,0.31,0.93,20.82,1.83,0.51,32.32,5.03,3.89,8.78,6.85,4.55,2.92,1.27,11.23
12.58,41.05,0.31,0.82,5.19,2.94,3.86,19.85,2.45,14.42,17.94,4.74,15.73,1.16,11.55,0.17
12.51,41.54,0.3,0.95,13.64,0.55,1.65,10.35,3.75,1.32,9.11,42.33,2.62,0.69,5.27,8.7
12.82,42.32,0.3,0.92,26.26,3.91,3.01,13.11,4.47,5.36,12.88,10.12,15.6,2.12,3.04,0.14
12.76,41.53,0.31,0.9,19.63,4.98,1.24,14.02,13.01,3.71,16.59,5.66,11.62,0.7,4.37,4.46
13.39,41.25,0.32,0.89,29.27,7.13,3.96,13.45,1.6,1.14,17.51,0.28,11.2,0.77,5.19,8.5
12.5,39.75,0.31,0.79,23.69,3.52,4.61,1.3,1.56,1.99,13.25,2.59,9.48,0.09,4.41,33.53
12.46,39.32,0.32,0.81,22.19,1.86,4.08,6.45,3.92,18.28,6.02,12.04,3.6,0.31,14.92,6.34
13.55,42.79,0.32,0.92,9.81,0.19,1.42,37.25,5.46,11.14,2.26,15.35,5.8,1.04,5.91,4.36
12.8,41.17,0.31,0.94,28.51,11.76,2.02,14.27,9.15,4.79,8.92,7.63,6.0,0.35,3.82,2.77
12.83,43.2,0.3,0.85,14.51,3.84,3.94,19.41,11.35,14.97,14.72,1.78,0.0,0.92,0.77,13.77
13.94,41.38,0.34,0.89,16.91,1.34,0.88,8.38,1.76,1.01,42.94,19.97,1.73,1.77,1.41,1.9
12.79,40.04,0.32,0.82,18.28,0.5,2.92,15.1,7.95,17.82,7.41,4.81,14.86,0.79,2.19,7.38
12.85,41.77,0.31,0.93,53.56,9.31,0.3,4.3,0.03,1.99,4.95,4.37,5.74,4.65,5.31,5.48
12.47,39.56,0.32,0.81,4.87,4.62,0.31,11.96,7.68,12.75,27.97,4.61,15.9,1.47,4.4,3.45
12.64,40.63,0.31,0.85,24.79,1.02,0.18,9.52,1.66,0.61,12.67,13.55,2.66,2.18,30.52,0.64
13.02,38.07,0.34,0.75,14.08,2.72,2.05,15.93,0.72,32.74,12.18,2.75,6.37,1.61,2.75,6.1
15.42,43.02,0.36,0.96,34.49,0.7,3.28,35.6,1.42,1.81,12.71,2.41,4.5,0.63,0.47,1.97
12.45,39.49,0.32,0.77,2.55,7.15,1.85,21.21,7.41,26.09,10.26,1.09,1.03,0.32,0.41,20.63
12.86,41.24,0.31,0.93,26.05,3.57,0.75,14.49,12.33,3.28,4.56,15.02,8.41,0.38,4.19,6.97
13.16,36.94,0.36,0.78,16.12,6.19,0.26,2.3,5.73,15.76,33.99,2.96,7.13,0.52,0.48,8.55
12.72,41.14,0.31,0.91,7.03,7.52,0.19,22.63,7.13,4.46,15.51,16.04,4.3,0.4,14.12,0.69
12.82,40.93,0.31,0.99,30.73,0.62,0.9,7.48,8.29,0.12,2.06,35.45,11.66,0.74,0.73,1.21
13.42,40.53,0.33,0.89,36.18,2.71,5.13,8.66,4.19,13.44,6.98,11.18,4.82,0.24,3.1,3.38
12.81,40.21,0.32,0.85,4.98,10.18,2.31,30.96,2.01,17.78,5.7,5.86,4.11,0.1,10.98,5.03
13.56,40.61,0.33,0.93,42.56,6.27,5.0,14.19,0.63,5.46,2.57,3.59,16.52,0.84,2.38,0.02
13.79,39.07,0.35,0.83,21.89,1.8,2.44,5.16,2.1,5.0,33.33,10.93,3.4,0.05,10.81,3.08
14.6,44.52,0.33,0.96,4.81,2.61,0.26,57.13,0.87,3.86,6.97,7.54,2.32,1.77,5.01,6.84
12.73,41.58,0.31,0.92,19.24,11.27,4.24,21.76,4.89,14.33,5.76,7.95,6.49,0.36,3.26,0.45
13.54,45.84,0.3,0.85,6.02,0.12,6.07,17.82,3.43,4.99,46.4,3.42,1.07,2.48,1.3,6.85
12.95,42.35,0.31,1.0,33.2,17.47,1.65,21.41,0.97,0.74,4.0,8.63,3.59,1.7,2.16,4.48
12.59,41.47,0.3,0.89,26.96,1.29,0.8,5.69,24.86,11.8,15.37,6.72,1.38,0.56,2.15,2.42
12.8,40.16,0.32,0.83,12.94,5.92,0.7,11.24,3.94,5.13,25.75,6.92,6.93,1.15,12.15,7.25
13.32,44.43,0.3,0.89,15.61,0.96,5.76,11.23,0.36,0.05,35.86,14.21,2.02,1.81,9.01,3.1
13.2,40.87,0.32,0.85,37.72,2.57,4.56,7.62,3.13,10.22,10.72,0.87,4.36,1.37,15.43,1.42
13.52,43.39,0.31,0.98,56.31,4.4,6.9,2.21,4.2,1.42,5.21,13.59,0.68,1.3,0.42,3.37
12.8,41.79,0.31,0.78,5.96,0.27,1.52,24.78,5.34,23.32,12.71,3.21,0.7,2.27,8.8,11.1
13.06,40.85,0.32,0.87,16.55,4.87,1.21,15.28,2.08,9.17,18.06,13.52,8.95,1.63,0.48,8.21
12.98,41.65,0.31,0.86,30.76,0.71,3.55,8.26,2.52,5.54,9.8,8.83,9.84,1.76,3.68,14.75
13.52,41.46,0.33,0.96,41.08,5.02,4.47,14.35,0.42,0.86,0.79,11.86,13.36,0.78,2.01,5.0
13.13,40.49,0.32,0.87,34.56,1.78,1.97,9.38,1.61,4.48,5.92,11.9,1.49,1.32,19.21,6.37
12.91,37.67,0.34,0.89,27.85,10.66,1.69,8.0,2.0,16.47,8.01,16.14,6.28,0.17,1.45,1.27
12.62,40.57,0.31,0.88,11.22,0.97,0.26,16.64,6.41,3.15,9.34,20.35,9.94,0.59,12.72,8.42
13.32,39.84,0.33,0.78,12.32,0.53,3.55,12.66,2.53,16.14,27.15,3.7,7.13,0.68,10.69,2.92
13.0,42.36,0.31,0.84,7.8,1.43,3.9,24.17,10.16,10.52,14.92,0.57,9.75,0.07,4.9,11.8
13.62,39.8,0.34,0.96,48.0,10.51,0.11,10.26,3.91,2.37,6.81,7.04,5.93,1.62,2.86,0.59
12.76,43.21,0.3,1.03,17.36,1.92,0.44,21.47,3.85,0.56,0.92,43.76,3.44,1.77,4.43,0.09
12.98,40.05,0.32,0.87,16.19,0.31,1.63,20.08,3.17,13.23,3.83,15.73,16.74,1.08,2.66,5.35
13.56,42.54,0.32,0.93,31.25,0.26,2.82,15.05,11.98,4.15,9.72,12.27,1.55,0.25,4.5,6.21
13.23,41.16,0.32,0.83,21.23,4.55,3.9,7.83,5.31,6.72,30.17,0.59,1.02,0.6,13.36,4.73
13.54,44.37,0.31,0.91,37.27,1.27,10.27,17.67,1.24,5.82,1.31,3.29,1.59,0.09,6.15,14.04
12.95,39.87,0.32,0.92,51.04,10.95,3.47,2.27,0.01,8.35,2.55,6.23,5.22,1.95,4.57,3.39
12.85,42.41,0.3,0.9,27.98,0.58,0.31,14.14,5.8,0.55,2.64,15.57,5.3,2.19,2.9,22.06
12.56,38.4,0.33,0.9,26.38,19.74,0.2,6.33,4.86,5.27,23.22,1.33,9.09,0.84,2.36,0.38
13.52,40.83,0.33,0.87,17.5,0.69,0.92,22.98,7.15,6.29,10.13,8.98,3.8,0.13,12.44,8.99
12.57,42.33,0.3,0.87,12.85,4.26,1.82,12.48,13.47,2.16,21.95,5.49,6.52,0.5,4.86,13.64
12.8,40.48,0.32,0.84,29.94,1.22,8.96,4.6,1.07,23.74,5.84,12.59,8.77,0.22,2.34,0.72
12.73,42.1,0.3,0.86,8.0,1.23,7.84,15.24,0.72,6.32,20.99,8.91,24.85,0.18,1.8,3.92
13.7,43.12,0.32,0.96,1.64,0.54,0.65,45.98,5.39,4.82,3.92,17.67,11.63,0.79,6.81,0.16
14.49,46.33,0.31,0.94,5.71,0.55,2.43,50.88,1.81,4.21,18.26,2.35,0.39,2.57,5.96,4.86
12.95,40.43,0.32,0.84,5.85,4.0,0.07,27.3,4.4,10.0,6.39,10.48,4.47,0.43,7.79,18.82
12.75,37.81,0.34,0.79,19.57,0.72,1.47,4.57,1.76,11.08,14.16,14.52,4.56,0.29,21.03,6.26
12.7,42.29,0.3,0.95,29.73,1.31,0.05,9.81,9.26,1.14,3.39,25.48,2.83,1.76,3.31,11.92
12.65,41.28,0.31,0.87,10.15,13.36,0.79,25.18,2.64,3.89,12.4,0.63,6.21,0.94,5.42,18.39
12.98,36.99,0.35,0.81,10.52,2.5,0.44,24.6,2.4,11.65,1.13,0.33,31.28,0.07,0.38,14.71
13.44,43.15,0.31,0.86,23.37,1.12,8.06,10.53,1.6,6.39,23.92,8.9,0.01,0.12,11.92,4.07
12.58,38.04,0.33,0.79,22.73,2.97,0.34,8.96,3.22,4.81,4.72,4.93,7.06,0.26,21.38,18.62
14.34,37.74,0.38,0.88,52.97,5.36,0.72,10.56,0.37,2.99,0.4,1.94,2.47,0.42,3.53,18.26
12.85,40.48,0.32,0.76,1.62,0.53,3.66,2.67,2.19,9.31,47.51,7.27,8.14,1.34,5.72,10.03
14.49,43.38,0.33,0.96,14.65,0.69,0.28,51.44,2.88,2.29,1.35,2.54,14.68,1.74,4.86,2.6
14.17,43.11,0.33,0.93,16.98,3.68,2.88,45.41,1.93,8.48,0.34,0.8,9.87,1.04,4.29,4.29
13.53,38.77,0.35,0.88,30.12,6.08,0.98,15.29,9.54,11.93,10.78,1.66,11.64,0.13,1.44,0.4
13.44,39.83,0.34,0.83,13.55,3.46,1.63,30.48,0.37,15.01,1.96,4.85,5.26,0.39,13.06,9.98
14.11,38.49,0.37,0.83,48.39,0.52,0.21,1.55,2.99,5.16,17.78,0.93,2.86,1.85,7.29,10.46
13.12,41.09,0.32,0.93,27.16,8.92,3.61,19.22,0.82,6.48,6.08,8.45,13.56,0.84,3.46,1.39
12.8,41.01,0.31,0.91,27.44,5.63,0.06,13.69,12.7,9.69,6.45,10.17,3.28,1.11,3.78,6.02
13.24,40.19,0.33,0.89,41.71,2.41,1.24,4.94,8.4,1.08,7.89,8.33,3.29,0.85,14.39,5.47
13.28,40.04,0.33,0.84,16.86,2.39,0.26,25.3,0.57,22.73,3.34,12.92,0.95,1.98,8.27,4.43
12.68,41.66,0.3,0.89,13.2,0.49,2.34,20.89,6.98,5.64,7.61,12.68,17.55,0.91,10.84,0.86
12.85,38.52,0.33,0.81,15.58,0.65,0.67,9.76,2.36,4.7,22.93,0.23,31.55,1.85,3.04,6.67
12.79,39.17,0.33,0.85,0.79,10.49,0.31,10.75,1.9,1.05,41.73,11.08,10.27,0.6,9.16,1.87
12.72,41.76,0.3,0.84,25.41,6.37,7.2,6.78,2.17,19.27,16.99,5.38,3.61,1.12,1.94,3.73
12.64,39.65,0.32,0.85,19.08,8.01,0.85,7.45,0.84,2.17,14.79,14.51,2.98,0.72,3.65,24.95
12.99,41.39,0.31,0.85,2.04,7.52,4.48,25.92,3.09,21.59,18.39,9.61,0.07,0.13,6.38,0.79
12.96,42.45,0.31,0.9,8.12,8.24,2.5,29.81,0.67,5.05,7.88,10.94,3.47,0.64,6.89,15.8
13.52,39.72,0.34,0.89,50.94,0.3,0.36,5.54,4.45,4.69,0.27,9.78,1.55,1.99,15.48,4.65
13.41,44.76,0.3,0.95,31.16,5.01,5.25,26.47,3.58,4.53,2.26,4.5,5.79,1.76,2.18,7.52
13.7,45.64,0.3,0.97,24.11,0.75,4.49,31.82,8.01,9.77,5.56,11.52,2.05,1.83,0.03,0.05
12.61,40.14,0.31,0.91,6.4,0.05,0.35,8.03,9.7,3.48,24.12,32.5,12.24,0.42,0.87,1.84
13.11,43.42,0.3,0.85,10.95,2.42,5.08,7.97,9.25,0.71,43.42,3.14,6.22,0.77,5.17,4.9
14.22,42.7,0.33,0.99,49.16,0.32,5.76,7.35,1.92,0.38,9.05,23.33,0.45,0.46,1.54,0.29
12.74,38.07,0.33,0.84,12.44,0.35,0.37,11.73,3.57,11.4,9.66,23.44,10.76,0.17,11.69,4.41
12.71,36.74,0.35,0.79,13.37,4.74,0.25,9.26,0.43,22.31,14.36,16.07,6.61,0.84,10.23,1.53
13.04,40.3,0.32,0.85,43.17,6.01,6.12,3.59,0.65,12.69,7.7,1.68,0.75,1.03,16.47,0.16
12.61,38.73,0.33,0.79,17.93,3.73,4.11,13.04,2.3,20.08,7.17,2.67,10.74,0.28,15.16,2.79
12.96,41.0,0.32,0.8,8.23,6.54,4.14,26.61,1.43,30.75,11.41,1.48,0.7,1.45,3.92,3.35
12.95,41.88,0.31,0.9,24.39,6.03,1.23,25.36,3.7,11.46,0.13,7.32,0.43,1.88,17.46,0.59
13.66,39.94,0.34,0.88,43.73,2.09,5.98,6.64,1.34,14.2,4.69,8.6,7.72,0.45,1.54,3.02
12.99,42.41,0.31,0.86,13.72,8.96,3.45,14.21,2.67,9.63,28.73,5.48,0.15,1.49,1.17,10.36
12.5,35.65,0.35,0.76,22.27,3.14,1.1,7.51,0.39,12.71,1.69,1.92,20.3,0.08,14.61,14.27
13.02,38.97,0.33,0.81,6.43,1.21,1.39,10.94,2.04,3.46,32.1,5.46,25.47,0.97,2.84,7.7
13.03,41.59,0.31,0.79,3.8,1.57,3.86,19.33,0.81,7.82,19.91,6.51,3.84,0.35,3.02,29.19
13.62,40.73,0.33,0.86,8.07,4.62,0.15,33.62,2.83,11.6,12.27,4.8,8.15,0.96,6.42,6.52
12.7,40.18,0.32,0.83,39.95,2.29,1.51,0.21,1.08,11.18,8.25,6.59,6.22,3.29,4.82,14.62
12.89,42.12,0.31,0.87,7.15,3.05,0.26,24.1,5.48,15.21,17.16,14.65,3.1,2.31,7.26,0.27
12.84,41.7,0.31,0.89,42.79,2.86,4.76,3.76,4.46,5.32,6.98,4.76,5.76,1.74,15.47,1.34
12.79,39.83,0.32,0.82,3.9,3.78,2.06,12.25,1.02,9.57,25.61,18.21,0.1,0.27,14.52,8.7
13.31,40.45,0.33,0.86,17.16,3.53,0.38,0.85,3.86,0.51,45.64,14.11,8.32,2.15,0.1,3.39
13.41,40.08,0.33,0.91,39.23,2.18,2.5,11.71,0.68,5.21,1.06,14.33,10.67,1.15,10.51,0.77
13.35,38.61,0.35,0.86,20.86,1.16,1.15,8.51,1.24,7.1,16.68,19.67,10.31,0.35,3.07,9.88
13.43,42.16,0.32,0.91,16.43,4.63,3.07,16.8,1.12,2.93,22.65,16.06,5.23,0.85,1.61,8.62
12.79,38.65,0.33,0.92,11.84,0.18,0.19,12.29,2.02,13.99,6.03,43.78,5.08,0.57,0.93,3.1
13.67,40.77,0.34,0.89,29.18,0.57,0.47,25.88,1.0,0.29,2.67,3.83,8.72,1.49,25.35,0.54
14.43,45.76,0.32,0.97,13.67,1.45,2.24,54.03,1.91,2.34,0.63,4.5,1.02,1.93,6.71,9.58
12.63,40.72,0.31,0.79,3.0,0.36,2.14,22.97,4.24,28.88,9.69,12.33,2.84,1.75,4.97,6.83
12.67,38.47,0.33,0.8,5.95,5.52,0.43,25.08,0.35,23.15,6.62,5.14,16.44,1.58,4.86,4.89
12.76,40.13,0.32,0.88,7.54,2.03,0.13,24.01,4.22,4.74,10.76,9.2,28.3,1.41,3.0,4.66
12.54,39.4,0.32,0.93,29.8,12.6,1.63,13.1,3.41,2.78,2.8,7.29,19.22,0.71,3.21,3.45
13.18,41.38,0.32,0.94,18.4,12.37,0.6,20.47,0.13,0.02,15.85,14.68,1.42,0.92,4.25,10.88
12.63,41.09,0.31,0.86,27.02,5.9,2.91,8.68,1.34,8.35,11.6,7.42,9.96,2.0,4.58,10.25
13.75,40.65,0.34,0.8,0.15,2.31,1.02,27.6,1.01,1.72,30.16,0.28,4.04,0.1,18.14,13.47
13.16,42.47,0.31,0.85,21.62,0.86,0.54,18.34,4.45,12.0,17.7,4.51,7.41,3.45,5.92,3.21
12.89,40.32,0.32,0.81,8.67,2.76,2.25,12.16,0.25,17.66,25.58,13.52,7.5,1.9,1.13,6.61
12.53,39.98,0.31,0.86,24.61,4.21,0.22,4.74,17.04,7.92,18.66,1.53,10.42,0.86,3.77,6.02
12.69,40.32,0.31,0.83,38.18,0.27,2.74,1.7,8.62,9.15,8.87,0.43,6.22,1.68,16.35,5.77
13.45,41.76,0.32,0.86,13.94,1.17,4.29,21.46,0.63,7.68,18.02,8.59,7.21,0.52,13.19,3.3
13.16,39.67,0.33,0.84,7.19,9.26,1.52,10.54,6.0,7.29,40.19,6.07,2.31,0.05,7.75,1.84
12.75,39.08,0.33,0.88,18.86,12.22,1.38,10.18,0.16,10.66,20.32,11.39,10.42,1.18,1.3,1.93
13.45,41.64,0.32,0.93,17.64,0.04,0.57,27.07,6.72,5.79,3.76,18.66,9.16,0.74,7.31,2.54
13.6,41.29,0.33,0.9,20.38,2.84,0.35,27.12,3.17,4.73,9.19,6.0,14.45,1.59,4.68,5.49
14.07,39.98,0.35,0.84,39.2,0.82,1.41,2.66,2.96,4.91,28.57,3.07,0.89,1.84,7.24,6.41
12.62,36.84,0.34,0.76,29.16,2.24,0.09,2.79,0.74,19.21,9.17,6.68,0.62,1.81,27.24,0.26
12.56,39.52,0.32,0.82,17.82,4.29,3.8,6.93,0.62,4.37,17.18,5.61,16.56,0.4,11.36,11.06
12.92,38.83,0.33,0.81,26.16,5.48,0.91,16.89,5.09,27.28,1.05,1.6,5.78,1.86,0.14,7.75
14.01,45.09,0.31,0.91,26.66,1.07,9.86,21.16,1.51,0.99,20.97,1.82,3.69,0.0,8.88,3.38
12.82,38.96,0.33,0.85,36.23,8.79,3.09,3.18,2.15,9.55,10.54,3.29,4.61,0.8,11.44,6.33
12.99,40.34,0.32,0.89,27.26,4.02,2.91,10.03,3.36,3.62,10.54,13.81,5.25,0.25,17.16,1.8
13.36,38.04,0.35,0.83,24.16,5.29,0.43,11.08,2.94,15.67,15.59,6.79,7.98,0.9,1.19,7.95
13.25,39.58,0.33,0.88,35.66,4.43,0.11,12.43,1.93,6.23,3.12,9.55,6.55,1.63,9.42,8.95
14.58,43.45,0.34,0.99,2.35,10.72,1.24,56.12,0.91,1.36,14.67,3.21,4.91,0.32,3.85,0.32
12.64,40.56,0.31,0.77,6.54,2.15,1.23,18.84,2.31,4.93,13.44,2.07,4.21,0.69,17.37,26.23
12.66,40.78,0.31,0.84,26.46,4.43,5.18,7.01,6.92,16.74,14.05,1.35,11.56,1.03,2.6,2.69
13.18,39.77,0.33,0.81,29.87,1.29,4.98,12.4,1.85,26.09,0.35,8.37,1.01,0.78,2.37,10.64
13.95,42.89,0.33,0.87,6.09,1.43,1.37,29.17,0.63,0.69,33.91,3.08,8.73,1.94,11.81,1.17
12.73,41.64,0.31,0.81,3.24,0.12,4.9,6.41,0.43,1.08,43.71,5.43,24.94,1.8,2.72,5.21
13.31,41.56,0.32,0.86,32.05,2.23,0.47,17.78,2.57,9.47,8.49,2.54,1.95,2.94,16.5,3.0
12.83,37.32,0.34,0.68,9.07,0.28,3.49,3.0,1.36,39.05,28.34,3.95,1.18,1.56,0.22,8.47
12.88,42.04,0.31,0.92,26.85,2.16,5.3,9.98,1.08,9.12,6.53,26.31,0.23,0.65,11.08,0.71
12.54,40.89,0.31,0.84,7.31,4.85,1.27,5.92,17.14,4.06,38.8,2.11,7.12,0.15,8.63,2.65
12.99,38.24,0.34,0.89,44.79,8.94,1.02,4.31,7.14,7.88,3.62,1.29,13.03,1.09,0.97,5.92
13.63,40.46,0.34,0.91,26.28,4.53,1.91,20.61,4.41,11.36,4.57,14.93,4.21,0.2,0.43,6.56
12.51,39.7,0.32,0.76,17.12,0.33,6.85,5.57,0.82,18.08,14.93,3.7,8.54,0.13,17.34,6.58
12.81,41.97,0.31,0.89,14.1,1.35,0.86,10.18,4.01,2.06,26.51,19.85,8.94,2.25,8.27,1.63
13.13,40.44,0.32,0.89,26.62,9.29,2.7,17.46,2.94,2.27,12.02,0.37,8.2,0.36,17.54,0.22
13.74,37.49,0.37,0.81,33.4,1.53,1.32,5.3,5.38,8.9,17.59,0.24,9.18,0.05,6.31,10.81
14.8,41.76,0.35,0.88,18.74,1.27,0.1,37.93,4.24,12.8,15.48,0.63,0.93,1.35,1.47,5.06
12.77,40.65,0.31,0.9,42.86,7.36,0.46,6.35,12.91,10.3,3.57,1.47,1.02,1.88,2.72,9.1
12.74,41.95,0.3,0.94,17.78,12.84,1.9,15.89,3.33,6.35,19.41,13.72,4.86,1.44,0.01,2.48
14.52,39.81,0.36,0.89,54.2,1.04,5.9,10.11,3.03,13.9,3.65,2.49,1.94,0.08,3.31,0.36
14.04,40.79,0.34,0.87,17.54,3.4,1.52,30.73,0.32,5.25,10.26,3.17,10.25,0.49,3.39,13.67
14.46,40.68,0.36,0.87,31.16,2.47,1.35,13.31,2.49,1.33,32.22,1.93,3.73,1.25,7.87,0.88
13.65,34.78,0.39,0.82,47.75,6.64,0.52,1.13,2.62,17.46,6.79,0.65,8.57,0.5,7.14,0.22
12.58,40.68,0.31,0.87,35.43,3.63,5.16,6.74,4.77,1.32,1.83,0.01,22.95,0.76,1.09,16.31
13.05,40.16,0.32,0.81,33.65,0.88,3.79,1.48,9.21,11.54,17.42,0.27,0.09,0.61,15.02,6.03
12.96,39.72,0.33,0.82,37.99,4.12,8.12,6.47,1.16,25.83,1.36,1.17,3.36,0.44,7.96,2.02
12.91,39.76,0.32,0.87,27.51,1.81,0.14,11.05,9.97,13.47,5.19,12.71,4.7,1.06,6.53,5.86
13.36,39.48,0.34,0.91,30.9,8.41,0.49,9.99,1.95,3.43,12.92,14.96,2.38,0.64,5.25,8.69
14.54,40.73,0.36,0.89,22.95,1.47,1.02,25.8,4.21,2.51,21.92,1.18,10.83,0.48,3.43,4.2
13.47,44.05,0.31,0.89,14.96,0.69,0.67,39.11,0.21,5.52,5.05,0.26,9.74,3.5,12.81,7.48
13.36,40.6,0.33,0.92,29.42,3.13,2.95,8.42,5.64,0.48,17.43,12.57,15.76,0.38,0.85,2.99
12.63,41.97,0.3,0.81,1.88,3.15,0.98,19.17,7.23,2.58,25.95,0.26,11.86,1.33,6.88,18.73
12.56,35.91,0.35,0.71,5.75,1.95,0.09,15.68,4.74,37.03,6.79,4.59,8.05,0.76,3.1,11.48
12.71,41.53,0.31,0.88,17.71,2.15,4.5,1.61,1.98,5.69,28.28,22.97,7.5,1.24,4.73,1.66
12.7,40.8,0.31,0.87,31.65,5.48,1.43,2.16,7.33,0.0,21.18,3.66,10.19,1.8,10.5,4.63
13.11,44.25,0.3,0.9,7.68,2.0,0.19,41.02,0.98,9.64,5.14,6.67,4.84,3.61,16.71,1.53
12.57,41.71,0.3,0.9,19.44,12.66,5.64,18.9,2.34,9.34,9.37,2.44,11.03,0.27,5.1,3.47
12.45,39.07,0.32,0.87,9.41,11.21,2.61,7.23,1.77,3.52,29.41,9.97,19.46,0.29,1.6,3.53
13.54,41.95,0.32,0.86,19.63,5.19,5.56,16.1,0.71,12.38,22.8,6.0,1.97,0.61,2.55,6.51
13.03,43.11,0.3,0.91,34.84,1.46,0.62,13.19,5.93,0.01,12.15,4.06,10.09,3.54,10.23,3.89
12.47,40.31,0.31,0.82,10.3,3.21,3.68,16.97,2.14,15.74,3.99,13.55,6.24,0.21,6.25,17.72
12.51,39.62,0.32,0.84,2.53,17.84,0.46,6.67,2.57,3.83,48.79,2.93,2.25,1.14,3.18,7.81
13.27,43.73,0.3,0.94,20.7,4.72,4.86,16.74,8.39,1.55,21.02,11.46,2.79,0.21,6.92,0.65
13.68,41.85,0.33,0.78,5.45,1.27,0.07,13.99,1.62,10.38,52.3,1.29,0.24,3.5,7.06,2.84
13.69,38.92,0.35,0.89,43.54,0.55,3.09,5.87,1.95,16.38,0.29,21.09,0.6,0.51,4.32,1.8
12.85,40.12,0.32,0.8,20.53,0.23,3.72,15.32,12.99,27.95,5.25,2.4,0.99,0.22,8.11,2.29
13.34,42.79,0.31,0.85,11.85,0.75,3.17,20.61,1.14,7.66,20.52,9.98,6.58,1.69,0.63,15.42
13.02,40.15,0.32,0.81,14.39,3.31,2.45,19.83,4.14,28.11,12.12,4.47,5.55,1.74,1.98,1.9
12.91,39.06,0.33,0.78,3.76,3.55,1.92,22.4,1.85,15.2,15.85,0.56,15.02,0.42,9.7,9.74
13.63,41.27,0.33,0.87,3.75,0.15,0.35,36.03,1.02,3.79,9.77,10.56,9.0,0.6,14.57,10.42
12.51,41.73,0.3,0.86,0.89,2.71,1.38,17.83,2.83,12.25,20.68,25.01,0.36,1.62,9.4,5.05
13.08,43.93,0.3,0.98,13.24,12.58,2.79,37.99,8.14,1.88,4.33,2.19,9.62,0.45,0.84,5.94
13.05,42.41,0.31,0.85,10.95,2.52,1.58,32.45,2.82,5.71,2.93,2.23,5.0,1.26,16.65,15.9
12.94,39.0,0.33,0.85,45.5,5.25,0.55,0.18,1.98,17.37,7.26,8.47,0.62,3.12,7.74,1.97
13.19,39.05,0.34,0.81,11.26,2.05,0.29,26.78,1.78,18.94,6.38,2.57,15.7,1.47,5.44,7.35
13.16,42.64,0.31,0.9,27.67,6.29,2.49,24.26,4.22,8.72,0.8,3.15,3.98,1.73,2.32,14.37
12.84,41.88,0.31,0.8,4.66,0.54,0.95,23.29,1.55,12.49,17.86,7.64,1.23,2.22,17.31,10.27
13.61,40.27,0.34,0.84,31.48,2.24,2.14,4.93,2.75,0.23,21.7,5.21,4.02,0.86,1.23,23.2
13.02,38.77,0.34,0.92,25.22,14.62,0.72,22.74,0.76,16.21,0.57,8.18,8.63,0.87,0.65,0.85
12.91,41.63,0.31,0.84,27.45,0.49,7.5,2.13,5.78,9.65,21.09,4.68,13.45,0.45,2.41,4.92
13.52,42.98,0.31,0.89,19.86,2.07,4.28,32.39,3.04,14.19,4.0,0.67,8.76,1.53,7.91,1.31
12.71,40.34,0.31,0.84,15.19,5.2,0.48,7.16,8.52,4.76,32.16,1.69,13.71,1.71,6.8,2.64
12.68,42.51,0.3,0.89,12.68,1.03,2.43,15.03,0.91,1.19,18.83,15.77,17.08,2.26,5.03,7.76
12.71,41.26,0.31,0.86,31.02,0.45,0.15,12.64,12.0,20.86,2.54,6.9,5.2,2.98,0.53,4.71
13.85,38.06,0.36,0.83,13.57,0.13,0.27,22.24,0.58,7.98,21.28,1.7,28.23,0.98,2.84,0.21
12.86,42.62,0.3,0.86,29.02,4.35,4.38,10.93,2.55,4.5,13.45,0.1,7.63,1.95,5.5,15.63
13.31,40.35,0.33,0.82,20.34,3.97,1.82,24.31,0.79,24.18,3.31,4.26,2.6,1.92,0.5,12.01
12.48,37.99,0.33,0.86,4.69,1.83,0.13,27.0,2.53,2.47,0.05,8.91,33.1,0.07,18.1,1.14
12.79,41.62,0.31,0.95,6.12,17.26,2.33,41.33,1.69,7.6,0.44,1.33,12.99,0.22,3.89,4.8
